sensor_00,sensor_10,sensor_20,sensor_30,sensor_40,sensor_50,machine_status,datetime
2.456539,34.59615,373.3553,719.4445,69.01041,238.7153,NORMAL,2018-04-12 00:00:00
2.456539,34.59615,373.3553,719.4445,69.01041,238.7153,NORMAL,2018-04-12 00:01:00
2.446702,34.89972,373.588,709.2593,70.57291,239.8727,NORMAL,2018-04-12 00:02:00
2.456539,33.96887,374.9091,706.0185,71.61458,241.3194,NORMAL,2018-04-12 00:03:00
2.45162,35.09749,374.9961,689.3519,71.35416,241.6088,NORMAL,2018-04-12 00:04:00
2.453588,34.49944,374.8815,714.8148,70.3125,241.3194,NORMAL,2018-04-12 00:05:00
2.459491,35.54609,376.8723,656.0185,70.57291,240.162,NORMAL,2018-04-12 00:06:00
2.453588,36.4784,375.4128,669.9074,72.13541,238.7153,NORMAL,2018-04-12 00:07:00
2.463426,37.26358,375.1258,692.5926,73.95833,236.4005,NORMAL,2018-04-12 00:08:00
2.448669,37.18587,373.3289,690.7407,73.95833,234.6644,NORMAL,2018-04-12 00:09:00
2.459491,36.79808,374.2177,652.7778,72.91666,234.375,NORMAL,2018-04-12 00:10:00
2.444734,36.91048,375.7847,689.3519,71.875,231.1921,NORMAL,2018-04-12 00:11:00
2.459491,36.17446,375.1077,698.6111,70.83333,225.9838,NORMAL,2018-04-12 00:12:00
2.450637,36.39297,373.403,674.074,70.3125,221.9329,NORMAL,2018-04-12 00:13:00
2.450637,36.39297,373.9689,665.2778,70.3125,221.9329,NORMAL,2018-04-12 00:14:00
2.456539,34.46342,374.5795,676.3889,67.70833,218.4606,NORMAL,2018-04-12 00:15:00
2.455556,33.8014,375.2594,682.8704,65.625,217.3032,NORMAL,2018-04-12 00:16:00
2.456539,33.10515,374.3919,674.074,63.80208,218.1713,NORMAL,2018-04-12 00:17:00
2.449653,32.89069,376.1423,678.7037,62.5,220.4861,NORMAL,2018-04-12 00:18:00
2.456539,33.51712,376.1423,678.7037,61.45833,223.0903,NORMAL,2018-04-12 00:19:00
2.444734,34.68512,375.9923,700.9259,60.41666,224.537,NORMAL,2018-04-12 00:20:00
2.456539,35.68827,374.9326,693.9814,61.71875,226.8519,NORMAL,2018-04-12 00:21:00
2.448669,37.36682,373.3231,692.5926,61.71875,229.7454,NORMAL,2018-04-12 00:22:00
2.455556,38.158570000000005,373.8537,682.4074,60.41666,232.0602,NORMAL,2018-04-12 00:23:00
2.455556,39.08612,374.6649,691.6666,57.8125,236.9792,NORMAL,2018-04-12 00:24:00
2.455556,37.88617,375.6428,675.9259,55.98958,237.5579,NORMAL,2018-04-12 00:25:00
2.459491,37.15097,375.6595,680.5555,55.72916,236.4005,NORMAL,2018-04-12 00:26:00
2.45162,36.73773,375.4867,696.7593,62.5,236.1111,NORMAL,2018-04-12 00:27:00
2.456539,36.45581,374.306,679.1666,71.875,237.5579,NORMAL,2018-04-12 00:28:00
2.456539,36.45581,375.5212,688.4259,71.875,237.5579,NORMAL,2018-04-12 00:29:00
2.456539,36.29277,374.2815,696.2963,78.64583,234.375,NORMAL,2018-04-12 00:30:00
2.449653,36.61047,373.2198,690.7407,77.08333,228.8773,NORMAL,2018-04-12 00:31:00
2.455556,36.165690000000005,374.1255,714.8148,72.65625,226.2731,NORMAL,2018-04-12 00:32:00
2.456539,36.14273,373.3885,680.0926,71.35416,225.4051,NORMAL,2018-04-12 00:33:00
2.455556,35.76493,374.2508,692.5926,71.35416,222.8009,NORMAL,2018-04-12 00:34:00
2.460474,35.65943,375.1129,699.074,71.875,221.3542,NORMAL,2018-04-12 00:35:00
2.45162,35.24635,375.215,664.8148,72.13541,219.6181,NORMAL,2018-04-12 00:36:00
2.454572,34.80829,375.3268,722.2222,71.35416,218.1713,NORMAL,2018-04-12 00:37:00
2.448669,34.8931,374.7457,735.6481,69.27083,216.7245,NORMAL,2018-04-12 00:38:00
2.453588,34.87051,374.6148,697.6852,66.66666,215.2778,NORMAL,2018-04-12 00:39:00
2.45162,35.76971,374.6506,676.8519,61.71875,214.6991,NORMAL,2018-04-12 00:40:00
2.453588,35.96363,374.1987,687.9630000000001,58.59375,215.5671,NORMAL,2018-04-12 00:41:00
2.459491,36.86515,375.3758,702.3148,57.8125,217.0139,NORMAL,2018-04-12 00:42:00
2.45162,36.10321,375.2985,720.8333,57.29166,217.0139,NORMAL,2018-04-12 00:43:00
2.463426,36.29543,374.635,692.1296,58.59375,219.9074,NORMAL,2018-04-12 00:44:00
2.449653,37.46923,374.635,692.1296,58.85416,223.0903,NORMAL,2018-04-12 00:45:00
2.455556,38.09832,374.5565,676.8519,56.51041,226.2731,NORMAL,2018-04-12 00:46:00
2.446702,38.88923,374.0493,704.1666,53.64583,228.2986,NORMAL,2018-04-12 00:47:00
2.453588,39.00042,374.8444,694.4445,52.34375,229.7454,NORMAL,2018-04-12 00:48:00
2.45162,38.32722,376.1372,708.7963,50.78125,227.1412,NORMAL,2018-04-12 00:49:00
2.45162,39.31546,375.4517,712.5,49.73958,224.2477,NORMAL,2018-04-12 00:50:00
2.459491,39.24056,375.657,719.4445,48.4375,222.8009,NORMAL,2018-04-12 00:51:00
2.449653,38.69942,373.726,687.0369999999999,48.17708,222.5116,NORMAL,2018-04-12 00:52:00
2.463426,38.72054,375.1717,687.0369999999999,48.69791,223.9583,NORMAL,2018-04-12 00:53:00
2.448669,39.21625,375.4841,655.5555,47.91666,226.2731,NORMAL,2018-04-12 00:54:00
2.459491,40.60018,376.1485,676.8519,46.61458,230.3241,NORMAL,2018-04-12 00:55:00
2.446702,42.2806,375.0056,732.4074,45.57291,231.4815,NORMAL,2018-04-12 00:56:00
2.455556,41.52835,373.3526,727.7778,45.3125,231.4815,NORMAL,2018-04-12 00:57:00
2.450637,42.88009,375.0138,680.0926,44.79166,230.0347,NORMAL,2018-04-12 00:58:00
2.45162,39.772490000000005,375.5168,695.3704,45.3125,225.6944,NORMAL,2018-04-12 00:59:00
2.453588,41.03437,374.3697,695.3704,50.52083,217.3032,NORMAL,2018-04-12 01:00:00
2.453588,41.03437,374.3697,695.3704,50.52083,217.3032,NORMAL,2018-04-12 01:01:00
2.460474,41.36407,376.132,710.6481,59.89583,213.831,NORMAL,2018-04-12 01:02:00
2.448669,40.18072,375.0412,721.7593,68.75,211.5162,NORMAL,2018-04-12 01:03:00
2.456539,39.86633,374.9662,678.7037,71.35416,208.3333,NORMAL,2018-04-12 01:04:00
2.448669,38.62941,373.826,700.9259,71.875,202.5463,NORMAL,2018-04-12 01:05:00
2.453588,37.18629,373.6273,650.9259,70.83333,197.338,NORMAL,2018-04-12 01:06:00
2.453588,37.59935,373.9886,703.2407,66.92708,194.4444,NORMAL,2018-04-12 01:07:00
2.45162,37.88451,375.4043,656.0185,62.5,193.5764,NORMAL,2018-04-12 01:08:00
2.463426,40.55527,374.2714,641.6666,58.59375,192.419,NORMAL,2018-04-12 01:09:00
2.453588,41.39753,373.765,681.0185,57.03125,190.1042,NORMAL,2018-04-12 01:10:00
2.459491,41.19599,374.4208,677.7778,54.94791,187.2106,NORMAL,2018-04-12 01:11:00
2.449653,41.51801,376.5276,641.2037,52.60416,185.1852,NORMAL,2018-04-12 01:12:00
2.459491,40.081520000000005,376.5276,641.2037,52.08333,184.3171,NORMAL,2018-04-12 01:13:00
2.448669,40.812740000000005,374.8236,680.0926,50.78125,183.4491,NORMAL,2018-04-12 01:14:00
2.455556,39.77298,373.7732,650.4630000000001,49.21875,182.0023,NORMAL,2018-04-12 01:15:00
2.449653,39.51575,374.1357,682.8704,48.17708,182.8704,NORMAL,2018-04-12 01:16:00
2.450637,40.13308,375.5836,678.2407,46.875,187.7894,NORMAL,2018-04-12 01:17:00
2.459491,40.77771,375.4967,694.9074,46.61458,192.419,NORMAL,2018-04-12 01:18:00
2.45162,40.34621,374.135,682.8704,46.61458,195.6019,NORMAL,2018-04-12 01:19:00
2.45162,40.34621,374.9215,725.4630000000001,46.61458,195.6019,NORMAL,2018-04-12 01:20:00
2.449653,38.62596,374.2764,694.4445,47.91666,203.7037,NORMAL,2018-04-12 01:21:00
2.458507,40.075590000000005,376.0401,684.7222,48.17708,208.6227,NORMAL,2018-04-12 01:22:00
2.448669,40.25896,376.0401,684.7222,48.4375,212.3843,NORMAL,2018-04-12 01:23:00
2.456539,40.63888,374.2926,697.2222,52.60416,215.5671,NORMAL,2018-04-12 01:24:00
2.449653,39.40047,374.86800000000005,711.574,53.90625,218.1713,NORMAL,2018-04-12 01:25:00
2.453588,37.78976,373.1007,707.8704,54.6875,218.1713,NORMAL,2018-04-12 01:26:00
2.456539,37.91216,373.9097,719.9074,57.29166,215.5671,NORMAL,2018-04-12 01:27:00
2.453588,36.37709,374.7495,687.5,60.9375,210.0694,NORMAL,2018-04-12 01:28:00
2.460474,35.147290000000005,372.379,697.6852,62.23958,206.0185,NORMAL,2018-04-12 01:29:00
2.45162,34.48123,374.1711,665.2778,61.71875,205.4398,NORMAL,2018-04-12 01:30:00
2.456539,34.3264,376.5971,732.4074,59.89583,206.0185,NORMAL,2018-04-12 01:31:00
2.449653,35.09134,375.8748,666.2037,61.19791,203.125,NORMAL,2018-04-12 01:32:00
2.455556,36.60219,375.0012,724.074,61.19791,199.9421,NORMAL,2018-04-12 01:33:00
2.448669,38.95248,374.9367,687.9630000000001,58.85416,197.338,NORMAL,2018-04-12 01:34:00
2.453588,40.0932,376.7295,704.1666,56.51041,195.3125,NORMAL,2018-04-12 01:35:00
2.459491,41.61044,375.5507,647.6852,54.94791,195.0231,NORMAL,2018-04-12 01:36:00
2.453588,41.34232,374.099,711.1111,54.6875,194.1551,NORMAL,2018-04-12 01:37:00
2.456539,41.77106,374.0728,675.9259,55.98958,192.7083,NORMAL,2018-04-12 01:38:00
2.455556,40.46616,375.3149,715.2778,56.25,190.6829,NORMAL,2018-04-12 01:39:00
2.453588,40.01038,375.2095,698.6111,55.98958,188.6574,NORMAL,2018-04-12 01:40:00
2.45162,38.69099,374.3488,650.0,54.94791,187.7894,NORMAL,2018-04-12 01:41:00
2.453588,39.71812,369.3165,678.7037,54.42708,188.0787,NORMAL,2018-04-12 01:42:00
2.449653,39.64769,376.1017,694.4445,53.90625,188.6574,NORMAL,2018-04-12 01:43:00
2.45162,39.83194,373.8591,720.3704,53.64583,190.9722,NORMAL,2018-04-12 01:44:00
2.45162,39.83194,374.1443,743.0555,53.64583,190.9722,NORMAL,2018-04-12 01:45:00
2.449653,38.70978,369.7639,676.3889,54.6875,198.206,NORMAL,2018-04-12 01:46:00
2.463426,37.93007,374.4964,693.0555,56.51041,202.8356,NORMAL,2018-04-12 01:47:00
2.450637,37.39124,374.305,676.3889,57.03125,205.7292,NORMAL,2018-04-12 01:48:00
2.458507,37.1592,375.208,711.1111,57.8125,205.4398,NORMAL,2018-04-12 01:49:00
2.453588,36.29352,376.2038,666.6666,58.59375,202.2569,NORMAL,2018-04-12 01:50:00
2.455556,36.14386,374.9411,676.3889,59.11458,197.338,NORMAL,2018-04-12 01:51:00
2.449653,35.41118,376.9229,668.5185,59.11458,195.6019,NORMAL,2018-04-12 01:52:00
2.450637,35.14383,375.3669,697.6852,60.9375,195.0231,NORMAL,2018-04-12 01:53:00
2.455556,35.30126,373.5453,689.3519,62.23958,194.1551,NORMAL,2018-04-12 01:54:00
2.449653,34.54345,374.7668,734.2593,62.76041,194.4444,NORMAL,2018-04-12 01:55:00
2.463426,35.39268,374.4314,723.1481,60.9375,195.6019,NORMAL,2018-04-12 01:56:00
2.45162,36.40432,374.8601,711.574,57.29166,195.8912,NORMAL,2018-04-12 01:57:00
2.459491,36.80753,376.6213,694.4445,54.6875,196.4699,NORMAL,2018-04-12 01:58:00
2.45162,40.321090000000005,374.155,715.2778,54.42708,197.0486,NORMAL,2018-04-12 01:59:00
2.448669,36.89247,374.4815,669.4445,61.19791,193.5764,NORMAL,2018-04-12 02:00:00
2.448669,36.89247,374.4815,669.4445,61.19791,193.5764,NORMAL,2018-04-12 02:01:00
2.453588,35.91225,374.6248,694.9074,62.76041,192.7083,NORMAL,2018-04-12 02:02:00
2.45162,34.834740000000004,373.3163,663.8889,61.71875,192.419,NORMAL,2018-04-12 02:03:00
2.453588,35.53161,374.7513,664.3519,60.9375,190.9722,NORMAL,2018-04-12 02:04:00
2.459491,36.96027,374.9641,679.1666,62.76041,190.6829,NORMAL,2018-04-12 02:05:00
2.45162,36.73659,374.1151,689.8148,66.40625,189.2361,NORMAL,2018-04-12 02:06:00
2.459491,36.50748,375.0103,662.9630000000001,66.40625,187.7894,NORMAL,2018-04-12 02:07:00
2.45162,36.1576,372.9626,689.8148,65.10416,186.6319,NORMAL,2018-04-12 02:08:00
2.459491,35.95471,375.0844,688.4259,62.76041,185.4745,NORMAL,2018-04-12 02:09:00
2.448669,36.72117,374.2941,698.6111,58.85416,184.3171,NORMAL,2018-04-12 02:10:00
2.453588,36.33579,375.2125,699.5369999999999,56.25,186.6319,NORMAL,2018-04-12 02:11:00
2.454572,37.93255,373.6548,728.7037,55.20833,188.6574,NORMAL,2018-04-12 02:12:00
2.45162,37.52,374.5181,693.9814,53.64583,189.8148,NORMAL,2018-04-12 02:13:00
2.459491,37.81568,374.5939,685.1852,53.38541,189.8148,NORMAL,2018-04-12 02:14:00
2.449653,38.05925,374.4135,659.7222,53.38541,190.9722,NORMAL,2018-04-12 02:15:00
2.460474,38.37587,374.6681,673.6111,51.82291,193.8657,NORMAL,2018-04-12 02:16:00
2.449653,39.90354,374.6379,711.1111,50.78125,196.7593,NORMAL,2018-04-12 02:17:00
2.455556,39.1311,375.0924,730.0926,52.34375,198.7847,NORMAL,2018-04-12 02:18:00
2.448669,41.08379,374.9267,713.4259,53.38541,201.3889,NORMAL,2018-04-12 02:19:00
2.45162,39.28805,375.7548,694.9074,53.125,202.2569,NORMAL,2018-04-12 02:20:00
2.453588,39.00285,373.9755,736.574,54.6875,203.125,NORMAL,2018-04-12 02:21:00
2.45162,38.39611,372.6549,678.7037,54.42708,206.5972,NORMAL,2018-04-12 02:22:00
2.460474,39.19231,375.2341,648.1481,54.6875,208.3333,NORMAL,2018-04-12 02:23:00
2.449653,38.58454,374.443,657.8704,56.25,207.4653,NORMAL,2018-04-12 02:24:00
2.460474,38.96339,374.989,710.6481,55.98958,206.5972,NORMAL,2018-04-12 02:25:00
